03:13:43.547 >> responsesCount.size(): 0
03:13:43.550 NEW:0 >> Node UUID is: ebbc51e1-53fb-45eb-b13e-f469138eae28
03:13:43.550 NEW:0 >> Local address is: 169.254.193.255
03:13:43.593 FLW:1 >> S_NEW => S_FLW >> Timeout achieved
03:13:43.694 FLW:1 >> New node with UUID ef7fa2c9-544b-42ac-b6ab-6f092de3a025 and IP 169.254.193.255 was discovered
03:13:43.727 FLW:1 >> New node with UUID a5abb75c-1127-482d-8951-2ed8a25b0211 and IP 169.254.193.255 was discovered
03:13:43.996 FLW:1 >> New node with UUID 09f2524d-2429-44b4-8d8f-12ed7e671070 and IP 169.254.193.255 was discovered
03:13:44.005 FLW:1 >> New node with UUID 217825cb-55b4-4446-b4e9-23a9fc004d4f and IP 169.254.193.255 was discovered
03:13:45.166 FLW:2 >> S_FLW => S_FLW >> Election request from the higher term #2.
03:13:45.179 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:45.179 FLW:2 >> It took 2 consecutive elections to achieve consensus.
03:13:45.265 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:45.764 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:46.264 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:46.765 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:47.272 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:47.777 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:48.272 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:48.772 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:49.272 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:49.774 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:50.273 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:50.773 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:51.285 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:51.774 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:52.279 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:52.776 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:53.275 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:53.774 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:54.278 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:54.778 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:55.277 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:55.782 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:56.277 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:56.776 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:57.279 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
